Index,age,income,student,credit_rating,class
630,senior,low,no,fair,no
631,youth,high,no,excellent,no
632,youth,medium,yes,fair,yes
633,middle_age,high,no,fair,no
634,senior,low,yes,fair,yes
635,middle_age,low,yes,fair,no
636,youth,low,no,fair,no
637,senior,low,no,fair,yes
638,middle_age,low,yes,fair,no
639,middle_age,medium,yes,excellent,yes
640,senior,high,yes,fair,yes
641,senior,high,yes,excellent,no
642,middle_age,high,yes,fair,no
643,senior,high,no,fair,yes
644,youth,low,yes,excellent,yes
645,middle_age,medium,no,fair,yes
646,middle_age,high,yes,fair,no
647,senior,low,no,fair,yes
648,senior,medium,no,fair,yes
649,middle_age,medium,yes,fair,no
650,senior,high,yes,fair,no
651,middle_age,low,no,excellent,no
652,senior,high,yes,excellent,no
653,youth,low,yes,fair,yes
654,middle_age,low,yes,fair,no
655,senior,medium,no,excellent,no
656,youth,high,yes,excellent,yes
657,youth,medium,yes,fair,yes
658,youth,high,no,excellent,no
659,senior,high,yes,excellent,no
660,senior,medium,yes,fair,yes
661,youth,medium,yes,excellent,yes
662,senior,high,yes,excellent,no
663,senior,high,yes,fair,yes
664,senior,low,yes,fair,no
665,middle_age,high,no,fair,no
666,youth,high,no,fair,yes
667,middle_age,medium,no,fair,no
668,senior,high,yes,excellent,no
669,middle_age,high,no,fair,no
670,senior,low,no,fair,no
671,youth,high,yes,fair,yes
672,senior,high,yes,fair,yes
673,youth,low,no,excellent,no
674,youth,low,yes,excellent,yes
675,youth,medium,yes,excellent,yes
676,senior,medium,no,fair,no
677,youth,high,yes,fair,yes
678,youth,high,yes,excellent,yes
679,youth,medium,no,excellent,no
680,youth,high,no,fair,no
681,youth,medium,no,fair,no
682,middle_age,high,no,fair,yes
683,youth,low,no,fair,yes
684,senior,medium,yes,excellent,yes
685,senior,medium,no,fair,yes
686,senior,low,no,excellent,yes
687,youth,high,no,fair,yes
688,youth,high,no,excellent,no
689,middle_age,high,yes,fair,yes
690,senior,medium,yes,fair,no
691,senior,low,yes,excellent,no
692,middle_age,medium,no,excellent,no
693,middle_age,low,yes,fair,yes
694,senior,low,yes,fair,yes
695,middle_age,medium,no,excellent,yes
696,senior,medium,yes,excellent,no
697,middle_age,medium,yes,fair,yes
698,senior,medium,yes,fair,no
699,youth,low,yes,excellent,yes
700,middle_age,high,yes,excellent,no
701,middle_age,low,yes,excellent,no
702,senior,high,yes,fair,no
703,youth,low,yes,fair,yes
704,youth,low,yes,fair,yes
705,middle_age,medium,yes,excellent,yes
706,youth,low,yes,excellent,yes
707,youth,low,no,fair,yes
708,middle_age,low,yes,excellent,no
709,middle_age,low,no,excellent,yes
710,middle_age,low,yes,excellent,no
711,middle_age,low,yes,fair,no
712,middle_age,medium,no,fair,yes
713,middle_age,medium,yes,excellent,yes
714,senior,high,yes,fair,no
715,senior,medium,no,excellent,no
716,senior,high,no,excellent,no
717,middle_age,low,yes,excellent,yes
718,youth,medium,yes,excellent,yes
719,senior,medium,yes,fair,yes
720,youth,high,yes,excellent,yes
721,senior,high,yes,fair,no
722,middle_age,low,yes,fair,no
723,senior,high,no,fair,no
724,senior,high,yes,fair,no
725,senior,medium,yes,excellent,yes
726,youth,low,yes,fair,yes
727,youth,high,no,fair,no
728,senior,low,yes,excellent,yes
729,middle_age,low,yes,fair,yes
730,youth,high,no,fair,no
731,senior,high,no,fair,no
732,middle_age,medium,yes,fair,no
733,senior,medium,no,fair,no
734,youth,high,yes,excellent,yes
735,middle_age,high,no,fair,yes
736,senior,low,no,fair,yes
737,senior,medium,yes,fair,no
738,youth,medium,yes,fair,yes
739,middle_age,medium,yes,fair,no
740,middle_age,low,no,fair,yes
741,senior,low,no,excellent,yes
742,senior,low,yes,excellent,no
743,senior,medium,yes,excellent,no
744,middle_age,medium,no,fair,no
745,senior,high,yes,fair,no
746,youth,low,no,fair,no
747,middle_age,low,yes,excellent,yes
748,middle_age,low,yes,fair,no
749,senior,high,no,fair,no
750,senior,low,no,fair,yes
751,youth,medium,yes,fair,yes
752,middle_age,high,no,excellent,no
753,middle_age,low,yes,fair,no
754,senior,high,no,fair,yes
755,middle_age,low,no,fair,no
756,senior,high,no,fair,yes
757,youth,low,yes,excellent,yes
758,youth,medium,yes,excellent,yes
759,middle_age,medium,no,excellent,yes
760,senior,high,no,fair,no
761,middle_age,medium,yes,excellent,yes
762,middle_age,medium,no,excellent,yes
763,middle_age,high,yes,fair,yes
764,youth,high,no,excellent,no
765,senior,low,yes,excellent,no
766,senior,high,no,fair,no
767,middle_age,low,no,fair,yes
768,youth,medium,yes,fair,yes
769,youth,low,yes,fair,yes
770,middle_age,low,no,fair,yes
771,senior,medium,no,fair,yes
772,middle_age,high,no,excellent,no
773,middle_age,high,no,fair,no
774,youth,medium,yes,fair,yes
775,senior,high,yes,fair,yes
776,middle_age,high,no,excellent,no
777,middle_age,medium,no,excellent,yes
778,youth,medium,no,fair,no
779,youth,medium,no,fair,yes
780,senior,medium,no,excellent,yes
781,middle_age,medium,no,excellent,no
782,senior,high,yes,fair,yes
783,middle_age,high,no,excellent,no
784,middle_age,high,no,fair,yes
785,middle_age,low,no,excellent,no
786,youth,high,yes,fair,yes
787,middle_age,high,no,fair,yes
788,youth,low,yes,fair,yes
789,youth,low,no,fair,no
790,senior,low,no,excellent,no
791,senior,medium,yes,fair,yes
792,middle_age,medium,no,fair,no
793,senior,high,no,excellent,no
794,youth,medium,yes,excellent,yes
795,youth,medium,yes,fair,yes
796,senior,low,yes,fair,yes
797,middle_age,high,no,fair,yes
798,middle_age,low,yes,fair,yes
799,middle_age,high,no,excellent,no
800,middle_age,medium,no,excellent,no
801,youth,medium,no,excellent,yes
802,youth,high,no,excellent,no
803,middle_age,high,yes,excellent,no
804,youth,medium,no,excellent,no
805,middle_age,high,no,fair,yes
806,senior,low,yes,excellent,no
807,senior,low,yes,excellent,no
808,middle_age,medium,no,excellent,yes
809,senior,high,yes,excellent,no
810,senior,high,yes,excellent,no
811,senior,medium,no,fair,yes
812,middle_age,low,no,fair,no
813,senior,high,yes,excellent,no
814,senior,low,yes,excellent,yes
815,senior,medium,no,excellent,no
816,middle_age,high,no,excellent,no
817,youth,medium,yes,fair,yes
818,middle_age,low,yes,excellent,no
819,middle_age,low,yes,fair,yes
820,middle_age,medium,no,fair,no
821,senior,low,yes,excellent,no
822,senior,low,no,fair,yes
823,middle_age,medium,yes,fair,yes
824,middle_age,low,yes,excellent,no
825,middle_age,medium,no,excellent,yes
826,youth,high,yes,excellent,yes
827,youth,medium,yes,fair,yes
828,senior,low,yes,fair,no
829,middle_age,low,yes,excellent,no
830,youth,low,yes,excellent,yes
831,middle_age,medium,no,excellent,yes
832,middle_age,medium,no,fair,yes
833,middle_age,low,yes,fair,yes
834,youth,high,yes,fair,yes
835,youth,medium,yes,excellent,yes
836,senior,medium,yes,fair,yes
837,senior,low,yes,fair,no
838,middle_age,medium,yes,excellent,no
839,senior,low,yes,fair,no
840,middle_age,high,yes,excellent,no
841,senior,high,yes,excellent,no
842,youth,high,yes,excellent,yes
843,youth,low,no,fair,yes
844,middle_age,high,yes,excellent,no
845,senior,medium,no,fair,yes
846,senior,medium,yes,excellent,no
